"Marca temporal","Indique la Comunidad Autónoma en la que reside","Marque la opción que mejor describa su situación","Escriba su Código Postal","Indique su distrito","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su nivel máximo de estudios","En una escala del 1 al 5 valore la rapidez con la que el gobierno central está tomando medidas contra la pandemia","¿Cuál es la información respecto a la crisis del COVID-19 que más le importa conocer?","¿Qué medios utiliza para informarse sobre el COVID-19?","¿Cree que algún grupo de edad está menos informado respecto al COVID-19?","Según este gráfico:","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Central]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Autonómico]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Local]","Indique los métodos de propagación del COVID-19 según las fuentes oficiales","Indique su año de nacimiento (4 cifras)","Indique su sexo"
"2020/04/29 1:25:55 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","GB","3","Recuperados","TV;Instagram;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar","1966","Femenino"
"2020/04/29 1:36:37 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Hospitalizados (NO en UCI)","TV;Fuentes oficiales del Gobierno;Otras redes sociales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","No lo sé","No lo sé","No lo sé","Propagación a través del aire","2001","Masculino"
"2020/04/29 2:23:37 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Recuperados","Instagram;Google","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","1","1","1","Propagación por gotas al toser y estornudar","1999","Femenino"
"2020/04/29 2:28:36 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Instagram","Personas de la tercera edad","La suma de casos activos y casos recuperados son los casos confirmados en España","3","3","4","Propagación por gotas al toser y estornudar","2000","Masculino"
"2020/04/29 3:45:24 a. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Fallecidos","TV;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","3","3","Propagación por gotas al toser y estornudar","2000","Femenino"
"2020/04/29 8:00:10 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Fallecidos","Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","2","1","Propagación por gotas al toser y estornudar","2000","Masculino"
"2020/04/29 8:01:17 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Fallecidos total diarios","TV;Fuentes oficiales del Gobierno","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1979","Femenino"
"2020/04/29 8:24:31 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","2","Propagación por gotas al toser y estornudar","1982","Femenino"
"2020/04/29 8:28:16 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Ingresados en la UCI","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","3","No lo sé","Propagación por gotas al toser y estornudar","1981","Femenino"
"2020/04/29 8:29:02 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Infectados","Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar","1993","Masculino"
"2020/04/29 8:31:34 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Fallecidos","TV;Periódicos digitales;Facebook","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","2","3","Propagación por gotas al toser y estornudar","1982","Masculino"
"2020/04/29 8:47:04 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Recuperados","Fuentes oficiales del Gobierno","No creo que haya diferencias entre los diferentes grupos de edad","Hay aproximadamente 100.000 casos de recuperados en España","4","4","4","Propagación por gotas al toser y estornudar","1985","Masculino"
"2020/04/29 8:57:11 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","La Creu Coberta","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","TV;Fuentes oficiales del Gobierno","Personas jóvenes","Hay aproximadamente 100.000 casos de recuperados en España","3","4","5","Propagación por gotas al toser y estornudar","1993","Femenino"
"2020/04/29 9:05:44 a. m. EET","Castilla-La Mancha","","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Radio;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","Hay aproximadamente 100.000 casos de recuperados en España","1","1","","Propagación a través del aire;Propagación por gotas al toser y estornudar","2950","Femenino"
"2020/04/29 9:08:56 a. m. EET","Castilla-La Mancha","","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Periódicos digitales;Otras redes sociales","Personas jóvenes","Hay aproximadamente 100.000 casos de recuperados en España","1","1","1","Propagación por gotas al toser y estornudar","1950","Masculino"
"2020/04/29 9:11:43 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1983","Femenino"
"2020/04/29 9:14:38 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Instagram","Personas de la tercera edad","La suma de casos activos y casos recuperados son los casos confirmados en España","3","2","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","2002","Femenino"
"2020/04/29 9:19:22 a. m. EET","Murcia","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Fallecidos","Radio","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","2","2","Propagación a través del aire","2002","Masculino"
"2020/04/29 9:29:30 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","1","No lo sé","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/29 9:32:15 a. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Recuperados","TV;Radio;Fuentes oficiales del Gobierno;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España hay aproximadamente 80.000 casos activos","1","1","1","A través del contacto físico","2002","Masculino"
"2020/04/29 9:49:03 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Recuperados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación por gotas al toser y estornudar","1968","Femenino"
"2020/04/29 9:50:26 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46021","El Pla del Real","","","","","","Mestalla","","","","","","","","","","","","","","Universitario","3","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","4","4","Propagación por gotas al toser y estornudar","1995","Masculino"
"2020/04/29 9:50:42 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Periódicos digitales;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","2","2","2","Propagación por gotas al toser y estornudar","1999","Femenino"
"2020/04/29 10:03:20 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46007","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Universitario","3","Fallecidos","Fuentes oficiales del Gobierno","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","5","5","Propagación por gotas al toser y estornudar","1969","Masculino"
"2020/04/29 10:22:38 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","4","Recuperados","TV;Fuentes oficiales del Gobierno","No creo que haya diferencias entre los diferentes grupos de edad","Hay aproximadamente 100.000 casos de recuperados en España","4","4","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","1997","Femenino"
"2020/04/29 10:34:24 a. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Recuperados","Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Linkedin","Personas de la tercera edad","Hay aproximadamente 100.000 casos de recuperados en España","","","","Propagación a través del aire;Propagación por gotas al toser y estornudar;Propagación a través de insectos","1996","Femenino"
"2020/04/29 10:36:31 a. m. EET","Madrid","","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","2","Infectados","TV;Periódicos digitales;Amigos;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","2005","Femenino"
"2020/04/29 10:54:16 a. m. EET","Castilla-La Mancha","","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Fallecidos","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España hay aproximadamente 80.000 casos activos","2","","","Propagación por gotas al toser y estornudar","1942","Femenino"
"2020/04/29 11:09:14 a. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","2","2","1","Propagación por gotas al toser y estornudar","1939","Femenino"
"2020/04/29 11:32:15 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46007","","Arrancapins","","","","","","","","","","","","","","","","","","","Universitario","2","Infectados","TV","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/29 11:33:28 a. m. EET","Castilla-La Mancha","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Otras redes sociales","Personas jóvenes","En España hay aproximadamente 80.000 casos activos","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","1970","Femenino"
"2020/04/29 11:36:33 a. m. EET","Murcia","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Fallecidos","Periódicos digitales","Personas jóvenes","En España hay aproximadamente 80.000 casos activos","1","4","4","Propagación por gotas al toser y estornudar","1970","Masculino"
"2020/04/29 11:46:02 a. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","4","5","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/29 11:50:59 a. m. EET","Comunidad Valenciana","Vivo en Valencia","46018","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Recuperados","Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","3","3","Propagación por gotas al toser y estornudar","1962","Femenino"
"2020/04/29 12:21:33 p. m. EET","Madrid","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas jóvenes","En España hay aproximadamente 80.000 casos activos","2","3","3","Propagación por gotas al toser y estornudar","2003","Masculino"
"2020/04/29 12:42:22 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Recuperados","TV;Periódicos digitales;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/29 12:48:13 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","4","4","Propagación por gotas al toser y estornudar","1963","Masculino"
"2020/04/29 12:54:44 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46006","L'Eixample","","Russafa","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Recuperados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","2","3","Propagación por gotas al toser y estornudar","1997","Femenino"
"2020/04/29 1:10:11 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","La Creu Coberta","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Fallecidos","Radio;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","Hay aproximadamente 100.000 casos de recuperados en España","1","1","1","Propagación por gotas al toser y estornudar","1967","Femenino"
"2020/04/29 1:14:15 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","4","4","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Prefiero no decirlo"
"2020/04/29 1:21:31 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Primaria","1","Que hagan test a toda la poblacion","TV;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","3","4","Propagación por gotas al toser y estornudar","1961","Femenino"
"2020/04/29 1:23:13 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Instagram","Personas de la tercera edad","La suma de casos activos y casos recuperados son los casos confirmados en España","3","3","4","Propagación por gotas al toser y estornudar","2000","Masculino"
"2020/04/29 1:26:11 p. m. EET","Castilla-La Mancha","","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","4","Fallecidos","TV;Radio;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Instagram","Personas jóvenes","La suma de casos activos y casos recuperados son los casos confirmados en España","3","3","3","Propagación a través del aire;Propagación por gotas al toser y estornudar","2005","Masculino"
"2020/04/29 1:34:22 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46021","El Pla del Real","","","","","","Mestalla","","","","","","","","","","","","","","Universitario","4","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Twitter;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","4","4","4","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/29 1:38:14 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Fallecidos","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","2","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","1975","Masculino"
"2020/04/29 1:58:47 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","","","Russafa","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Tofo en general","TV;Otras redes sociales","Personas de la tercera edad","En España hay aproximadamente 80.000 casos activos","1","1","1","Propagación por gotas al toser y estornudar","1966","Femenino"
"2020/04/29 2:16:14 p. m. EET","Castilla-La Mancha","","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Fallecidos","Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","","1","1","2","Propagación por gotas al toser y estornudar","1940","Masculino"
"2020/04/29 2:22:36 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46023","Camins al Grau","","","","","","","","","","","","La Creu de Grau","","","","","","","","Universitario","1","Fallecidos","Radio;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1972","Prefiero no decirlo"
"2020/04/29 2:27:40 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Fallecidos","TV;Periódicos digitales;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar","1965","Femenino"
"2020/04/29 3:21:26 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Fallecidos","TV;Fuentes oficiales del Gobierno","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","2","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","1953","Femenino"
"2020/04/29 3:21:41 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Fallecidos","TV;Fuentes oficiales del Gobierno","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","2","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","1953","Femenino"
"2020/04/29 3:25:54 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Fallecidos","TV;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","1953","Femenino"
"2020/04/29 3:32:47 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Fuentes oficiales del Gobierno","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1965","Femenino"
"2020/04/29 3:33:20 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Fallecidos","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar;Con el contacto físico","1982","Prefiero no decirlo"
"2020/04/29 3:38:55 p. m. EET","Castilla y León","","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Infectados","TV;Fuentes oficiales del Gobierno;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","2","3","Propagación a través del aire;Propagación por gotas al toser y estornudar","1972","Masculino"
"2020/04/29 3:41:55 p. m. EET","I. Canarias","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Fallecidos","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas de la tercera edad","Hay aproximadamente 100.000 casos de recuperados en España","1","2","1","Propagación por gotas al toser y estornudar","1967","Femenino"
"2020/04/29 3:58:23 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Twitter;Instagram;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","3","3","Propagación por gotas al toser y estornudar","1974","Masculino"
"2020/04/29 4:00:53 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Infectados","TV;Radio;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","4","3","Propagación a través del aire;Propagación por gotas al toser y estornudar","1974","Masculino"
"2020/04/29 4:05:28 p. m. EET","Castilla y León","","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Ingresados en la UCI","Fuentes oficiales del Gobierno;Linkedin","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","4","1","Propagación por gotas al toser y estornudar","1976","Masculino"
"2020/04/29 4:10:40 p. m. EET","Murcia","","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Toda la información posible y verdadera. ","TV;Periódicos digitales;Amigos;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","3","","Propagación por gotas al toser y estornudar","1943","Femenino"
"2020/04/29 4:20:18 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46014","L'Olivereta","","","","","","","Nou Moles","","","","","","","","","","","","","Universitario","1","Infectados","Periódicos digitales","Personas jóvenes","Hay aproximadamente 100.000 casos de recuperados en España","1","1","1","Propagación por gotas al toser y estornudar","1974","Masculino"
"2020/04/29 4:37:08 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Favara","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas jóvenes","","1","1","1","Propagación por gotas al toser y estornudar","1955","Femenino"
"2020/04/29 5:14:35 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46014","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Educación Primaria","2","Recuperados","TV","No creo que haya diferencias entre los diferentes grupos de edad","Hay aproximadamente 100.000 casos de recuperados en España","2","3","3","Propagación por gotas al toser y estornudar","1968","Masculino"
"2020/04/29 5:20:30 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Primaria","3","Fallecidos","TV","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","3","3","1","Propagación por gotas al toser y estornudar","1974","Femenino"
"2020/04/29 5:27:04 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46007","Jesús","","","","","","","","","La Raiosa","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Hospitalizados (NO en UCI)","TV;Twitter","Personas adultas","En España se han dado aproximadamente 20.000 muertes","4","5","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/29 5:46:04 p. m. EET","Castilla y León","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Todo","TV;Radio;Fuentes oficiales del Gobierno;Periódicos digitales;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","2","2","2","Propagación a través del aire;Propagación por gotas al toser y estornudar","1972","Masculino"
"2020/04/29 6:15:41 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Recuperados","TV;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","2","3","Propagación a través del aire;Propagación por gotas al toser y estornudar","1981","Femenino"
"2020/04/29 6:39:30 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","TV;Radio","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","3","3","2","Propagación por gotas al toser y estornudar","1957","Femenino"
"2020/04/29 6:46:53 p. m. EET","País Vasco","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Recuperados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","4","4","Propagación a través del aire;Propagación por gotas al toser y estornudar","1965","Masculino"
"2020/04/29 7:00:51 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Infectados","Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","3","4","Propagación por gotas al toser y estornudar","1965","Masculino"
"2020/04/29 7:05:05 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Hospitalizados (NO en UCI)","TV;Radio;Periódicos digitales;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","4","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","1976","Masculino"
"2020/04/29 7:09:33 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","5","Ingresados en la UCI","Facebook","Personas jóvenes","La suma de casos activos y casos recuperados son los casos confirmados en España","3","3","3","Propagación por gotas al toser y estornudar","1969","Masculino"
"2020/04/29 7:13:03 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46025","Benicalap","","","","","","","","","","","","","","","","Benicalap","","","","Universitario","3","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Amigos;Instagram;Facebook","Personas adultas","Hay aproximadamente 100.000 casos de recuperados en España","5","5","5","Propagación a través del aire;Propagación por gotas al toser y estornudar","1976","Masculino"
"2020/04/29 7:34:35 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46020","Benimaclet","","","","","","","","","","","","","","Benimaclet","","","","","","Universitario","3","Infectados","TV;Fuentes oficiales del Gobierno;Facebook","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","2","2","Propagación por gotas al toser y estornudar","1960","Femenino"
